Order	amountCrates
0	3
1	3
2	3
3	3
4	3
5	2
6	3
7	5
8	4
9	2	1
10	1
11	3
12	3	2
13	2
14	4	3
15	4
16	4
17	2
18	2
19	2
20	2
21	3	2
22	5
23	1
24	2
25	3
26	3
27	3
28	3
29	2
30	4
31	1
32	4
33	4
34	2
35	2
36	2
37	5
38	4
39	1
40	2
41	4
42	3
43	3
44	3
45	7
46	5
47	4
48	5
49	3
50	3	2
51	3
52	3	2
53	3
54	4
55	4
56	3
57	2
58	2
59	3
60	4
61	3
62	3
63	2
64	1
65	2
66	2
67	2
68	3
69	1
70	2
71	4
72	4	2
73	1
74	3
75	3
76	3
77	2
78	2
79	5
80	3
81	4	3
82	4
83	5
84	2
85	1
86	2
87	4
88	5
89	6
90	3
91	4
92	3
93	3
94	2
95	3
96	3
97	2
98	2
99	3
100	2	1
101	1
102	2	1
103	2
104	3
105	1
106	2
107	3
108	1
109	4
110	2
111	2
112	2
113	3
114	2
115	2
116	3
117	3
118	3
119	4
120	2
121	1
122	1
123	3
124	8
125	2
126	4
127	3
128	3	1
129	2
130	5	2
131	2
132	1
133	2
134	1
135	3	2
136	3
137	2
138	4
139	3
140	2
141	2
142	3
143	2
144	4
145	5	2
146	2
147	1
148	3
149	3
150	5	3
151	2
152	4
153	2
154	4	1
155	4	1
156	2
157	3
158	4	1
159	3
160	2
161	7
162	4	2
163	2
164	3
165	2
166	3
167	3
168	4
169	4
170	1
171	4
172	3
173	4
174	4
175	2
176	3
177	5
178	2
179	4
180	3
181	2
182	3	1
183	4
184	2
185	3
186	3
187	1	1
188	4
189	2
190	3	2
191	3	2
192	2
193	1
194	4
195	2	1
196	3	2
197	4
198	2
199	4
200	3
201	2
202	1
203	5	2
204	1
205	3
206	3
207	3	1
208	3
209	3
210	2
211	3
212	2
213	2
214	3
215	2
216	3
217	2
218	3	2
219	2
220	3
221	2
222	4	1
223	2
224	2
225	2
226	2
227	2
228	2
229	4
230	2
231	3
232	3
233	4
234	6
235	3
236	3
237	2
238	2	1
239	3
240	2
241	1
242	3
243	2
244	6
245	4
246	4
247	1
248	4
249	3
250	4
251	3
252	3
253	3
254	2
255	1
256	6
257	3
258	4
259	2
260	2
261	3
262	2
263	2
264	2	1
265	2
266	8
267	2
268	4
269	4
270	4
271	2
272	3
273	3
274	3
275	4
276	6
277	3
278	3
279	3
280	3
281	5
282	2
283	2
284	3
285	2
286	2
287	2
288	1
289	3
290	4
291	2	1
292	2
293	3
294	4
295	3
296	3
297	5
298	3	2
299	3
300	4
301	6
302	2
303	4
304	3
305	5
306	4
307	1
308	2	1
309	2
310	3
311	3
312	3
313	2
314	3
315	3
316	6
317	4
318	3	2
319	2
320	1
321	3
322	2
323	2
324	2
325	5
326	4
327	3	2
328	5
329	9
330	3	2
331	2
332	2
333	3
334	3
335	3
336	4
337	2
338	4
339	3
340	3
341	1
342	3
343	3
344	3
345	4	2
346	2
347	4
348	2
349	4
350	4
351	3
352	3
353	2
354	2
355	6
356	3
357	2	2
358	7
359	4
360	4
361	3
362	2
363	3
364	4
365	3
366	4
367	2
368	3
369	4
370	3
371	4
372	2
373	6	5
374	4
375	2	1
376	2
377	3	1
378	3
379	2
380	7
381	5	1
382	2
383	2
384	4
385	2
386	4
387	3
388	2
389	4
390	6
391	2
392	2
393	3
394	4
395	2
396	4
397	4
398	2
399	4
400	3
401	5
402	3
403	4	3
404	2	1
405	2
406	3
407	9
408	3
409	1
410	3
411	3
412	3
413	3
414	2
415	2
416	2
417	3
418	3
419	2	1
420	3
421	2
422	4
423	3
424	3
425	2
426	3	1
427	3
428	6
429	3
430	1
431	2
432	3
433	5
434	4
435	2
436	2
437	2
438	4
439	3
440	3
441	2
442	2
443	5
444	3
445	3	3
446	3
447	5
448	4
449	4
450	2
451	3
452	3
453	4	3
454	4
455	1
456	1
457	3
458	5
459	7	6
460	4
461	2
462	2
463	3
464	5
465	3
466	4
467	5
468	1
469	5
470	2
471	3
472	2
473	2
474	3
475	4	1
476	2
477	1
478	4	2
479	3
480	2
481	6
482	2
483	2
484	2
485	2
486	1
487	3
488	5	4
489	3
490	2
491	3
492	2
493	4
494	3
495	2
496	3
497	4
498	2
499	2
500	3
501	2	1
502	4	1
503	3
504	7
505	2
506	5	1
507	3	1
508	2
509	2
510	3
511	3
512	1
513	3
514	3
515	5
516	2
517	4
518	3
519	3
520	4
521	3
522	4
523	3
524	3	3
525	4	2
526	3
527	5
528	3
529	3
530	3
531	3
532	3
533	2
534	3
535	5
536	2
537	2
538	2
539	6
540	2
541	4
542	4	3
543	2
544	3	2
545	3
546	4
547	4
548	3
549	2
550	6
551	1	1
552	6
553	3
554	3
555	6	5
556	5
557	3
558	2	1
559	3
560	1
561	3
562	2
563	4
564	4
565	3
566	4	1
567	5
568	2
569	2
570	1
571	4
572	3
573	5	4
574	2
575	3
576	4
577	4
578	2
579	2
580	2
581	5	2
582	2
583	4
584	2
585	4
586	2
587	2
588	3
589	3	1
590	6
591	2
592	4
593	2
594	2	2
595	2
596	3
597	2	1
598	6
599	2
600	3
601	2
602	5
603	4	1
604	2
605	3
606	2
607	5	2
608	2	1
609	3
610	2
611	2
612	5
613	3
614	3
615	3
616	3	2
617	1
618	4
619	2
620	2
621	3	1
622	1
623	3
624	2
625	2
626	4
627	2
628	1
629	4
630	1
631	4
632	2
633	2
634	3
635	3
636	4
637	1
638	1
639	4
640	3
641	3
642	2
643	1
644	3
645	3
646	4
647	3	1
648	3
649	2
650	2
651	2
652	4	1
653	1
654	3
655	5
656	3
657	2
658	5
659	2
660	3
661	3
662	3	1
663	3
664	5
665	2
666	2
667	3
668	2
669	3
670	3
671	3
672	2
673	7
674	3
675	3
676	3
677	2
678	3
679	5
680	3
681	3
682	4
683	3
684	3
685	2
686	3
687	3	1
688	2
689	1	1
690	2
691	3
692	2
693	2
694	4	1
695	2
696	4
697	2	2
698	2
699	3
700	4
701	3
702	3
703	2
704	3
705	2
706	2
707	2	1
708	4
709	4	2
710	3	1
711	6
712	3
713	2
714	2	1
715	2	1
716	3
717	2
718	2
719	4
720	3
721	3
722	3
723	4
724	4
725	5
726	4
727	3
728	3
729	1
730	4
731	4
732	2
733	3
734	3
735	3
736	2
737	1
738	4
739	3
740	3
741	2
742	3	2
743	1
744	4
745	2
746	3
747	2
748	2
749	3
750	4
751	2
752	1
753	2
754	1
755	3	2
756	3	2
757	2
758	3
759	2	1
760	3
761	2
762	4
763	2
764	3
765	3
766	3
767	3
768	4
769	1
770	2
771	3
772	1
773	2
774	2
775	3
776	3
777	2
778	1
779	3
780	2
781	2	2
782	3
783	2
784	3
785	4
786	2
787	4
788	2
789	1
790	5
791	4
792	3
793	3
794	3	1
795	2
796	2
797	1
798	3
799	3
800	3	2
801	4	2
802	4
803	2
804	4
805	2
806	3
807	3
808	2
809	2
810	2
811	2
812	2
813	4
814	2
815	2
816	5
817	3
818	3
819	4
820	4	3
821	3	1
822	2
823	2
824	3	1
825	3
826	4
827	3
828	3
829	3
830	4	3
