crate_id,order_id,item_id,x_start,x_end,y_start,y_end,z_start,z_end
0,0,225,0,61,0,268,58,231
0,0,383,369,451,83,155,98,199
0,0,376,333,447,0,103,160,350
0,0,430,350,380,0,60,204,423
0,0,354,0,89,224,313,84,398
0,0,37,0,55,0,391,0,127
0,0,179,0,61,224,320,0,220
0,0,69,0,62,0,155,0,270
0,0,198,0,61,155,280,0,259
0,0,56,0,83,83,172,184,516
0,0,126,203,365,62,351,119,224
0,0,74,419,493,72,150,0,268
0,0,495,0,37,154,474,82,118
0,0,179,0,61,224,320,0,220
0,0,53,0,32,0,135,226,393
0,0,160,0,20,295,454,0,103
0,0,440,91,163,83,167,0,229
0,0,96,401,584,272,365,0,43
0,0,434,0,76,0,50,195,361
0,0,298,185,251,250,370,206,274
0,0,430,350,380,0,60,204,423
1,1,411,0,83,224,308,96,251
1,1,223,253,339,215,422,0,112
1,1,274,0,184,0,167,0,369
1,1,370,126,213,83,296,177,426
1,1,281,403,496,0,267,94,248
1,1,33,0,56,0,137,0,224
1,1,34,105,206,167,269,0,96
1,1,319,378,469,0,81,173,466
1,1,411,0,83,224,308,96,251
1,1,480,0,44,191,393,82,128
1,1,125,0,166,0,156,0,133
1,1,411,0,83,224,308,96,251
1,1,137,268,298,62,174,83,245
1,1,174,0,23,0,150,0,85
1,1,478,0,13,140,290,84,159
1,1,495,0,37,154,474,82,118
1,1,401,0,25,0,200,239,326
1,1,20,0,135,0,109,264,265
1,1,338,0,18,0,166,228,462
2,1,195,61,150,154,247,155,521
2,1,11,338,403,0,195,0,273
2,1,125,0,166,0,156,0,133
2,1,315,0,82,0,203,119,367
2,1,445,0,66,248,344,74,325
2,1,278,173,229,0,119,194,315
2,1,215,0,76,105,195,93,384
3,2,156,0,69,0,252,0,311
3,2,69,0,62,0,155,0,270
3,2,125,0,166,0,156,0,133
3,2,478,0,13,140,290,84,159
3,2,148,155,309,0,329,155,267
3,2,131,0,59,248,380,0,241
3,2,58,403,497,0,84,0,319
3,2,125,0,166,0,156,0,133
3,2,163,0,76,0,124,0,260
3,2,411,0,83,224,308,96,251
3,2,109,0,32,0,71,93,302
3,2,261,377,460,224,303,0,268
3,2,253,197,243,0,86,224,362
3,2,74,419,493,72,150,0,268
3,2,401,0,25,0,200,239,326
3,2,154,93,152,0,90,207,395
3,2,411,0,83,224,308,96,251
3,2,292,0,105,0,88,137,253
4,2,11,338,403,0,195,0,273
4,2,58,403,497,0,84,0,319
4,2,0,158,260,105,207,160,279
4,2,57,0,67,169,238,0,191
4,2,206,446,552,0,44,0,236
4,2,405,0,74,173,297,0,253
4,2,480,0,44,191,393,82,128
4,2,165,153,217,0,150,0,225
4,2,36,0,71,105,251,112,290
4,2,479,83,119,0,319,0,213
4,2,370,126,213,83,296,177,426
5,3,476,0,73,0,70,155,207
5,3,148,155,309,0,329,155,267
5,3,354,0,89,224,313,84,398
5,3,36,0,71,105,251,112,290
5,3,224,216,279,214,281,0,94
5,3,131,0,59,248,380,0,241
5,3,126,203,365,62,351,119,224
5,3,225,0,61,0,268,58,231
5,3,42,0,66,0,127,0,195
5,3,292,0,105,0,88,137,253
5,3,139,169,224,162,242,173,317
5,3,354,0,89,224,313,84,398
5,3,231,369,430,83,181,0,217
5,3,333,314,399,176,268,0,147
5,3,445,0,66,248,344,74,325
5,3,333,314,399,176,268,0,147
5,3,10,0,56,0,236,0,215
5,3,431,100,261,96,200,0,1
5,3,495,0,37,154,474,82,118
6,3,76,0,270,82,528,0,114
6,3,39,0,60,103,211,76,221
6,3,411,0,83,224,308,96,251
7,4,148,155,309,0,329,155,267
7,4,125,0,166,0,156,0,133
7,4,148,155,309,0,329,155,267
7,4,148,155,309,0,329,155,267
7,4,125,0,166,0,156,0,133
7,4,359,0,117,205,486,0,114
7,4,100,0,48,0,160,224,514
7,4,155,0,41,278,413,211,234
7,4,61,0,103,0,97,0,136
7,4,20,0,135,0,109,264,265
7,4,173,160,204,0,145,224,384
7,4,61,0,103,0,97,0,136
7,4,454,402,436,0,90,0,186
7,4,454,402,436,0,90,0,186
8,4,51,0,111,0,184,0,313
8,4,212,0,67,248,316,114,313
8,4,419,232,307,241,394,91,292
8,4,411,0,83,224,308,96,251
8,4,225,0,61,0,268,58,231
8,4,86,0,62,148,207,0,221
8,4,315,0,82,0,203,119,367
8,4,482,0,193,0,137,0,231
9,5,131,0,59,248,380,0,241
9,5,390,0,74,248,319,137,356
9,5,364,0,79,0,80,0,301
9,5,318,56,86,0,339,0,123
9,5,37,0,55,0,391,0,127
9,5,70,103,136,0,300,76,166
9,5,171,0,212,205,350,117,231
9,5,444,160,181,145,285,246,392
9,5,261,377,460,224,303,0,268
9,5,11,338,403,0,195,0,273
9,5,402,284,341,0,169,0,254
9,5,411,0,83,224,308,96,251
9,5,102,0,177,0,95,265,272
9,5,446,0,43,0,202,202,285
9,5,65,0,93,196,339,0,156
10,6,315,0,82,0,203,119,367
10,6,251,412,498,69,282,0,250
10,6,225,0,61,0,268,58,231
10,6,148,155,309,0,329,155,267
10,6,146,0,60,116,208,137,288
10,6,66,377,501,0,209,36,97
10,6,281,403,496,0,267,94,248
10,6,66,377,501,0,209,36,97
10,6,459,337,465,178,303,0,131
10,6,137,268,298,62,174,83,245
10,6,444,160,181,145,285,246,392
10,6,154,93,152,0,90,207,395
10,6,61,0,103,0,97,0,136
10,6,398,0,87,0,139,124,291
10,6,66,377,501,0,209,36,97
10,6,121,254,322,237,304,0,120
11,6,138,0,115,0,206,0,379
11,6,56,0,83,83,172,184,516
11,6,248,35,395,0,187,79,167
11,6,471,0,118,0,157,0,162
11,6,58,403,497,0,84,0,319
11,6,56,0,83,83,172,184,516
11,6,450,0,79,105,196,180,465
12,7,281,403,496,0,267,94,248
12,7,172,208,242,166,306,224,409
