instance min_num_crates_GA min_num_crates_LB running_time
0 1 1.0 4803
1 2 2.0 47
2 2 2.0 33
3 2 2.0 20
4 2 2.0 18
5 1 1.0 1113
6 2 2.0 14
7 3 3.0 11208
8 2 2.0 33
9 1 1.0 807
10 1 1.0 397
11 2 2.0 45
12 2 2.0 21
13 1 1.0 1622
14 2 2.0 46
15 2 2.0 28
16 2 2.0 24
17 1 1.0 955
18 1 1.0 956
19 1 1.0 189
20 1 1.0 1155
21 2 2.0 13
22 2 2.0 45
23 1 1.0 403
24 2 2.0 12
25 2 2.0 22
26 1 1.0 962
27 2 2.0 23
28 1 1.0 2327
29 2 2.0 6
30 2 2.0 23
31 1 1.0 35
32 2 2.0 31
33 2 2.0 32
34 1 1.0 492
35 1 1.0 1977
36 1 1.0 830
37 3 3.0 17770
38 2 2.0 15
39 1 1.0 335
40 1 1.0 1108
41 2 2.0 44
42 2 2.0 12
43 2 2.0 34
44 2 2.0 24
45 3 3.0 31272
46 2 2.0 21
47 3 3.0 17130
48 2 3.0 55
49 2 2.0 19
50 2 2.0 25
51 2 2.0 15
52 2 2.0 39
53 2 2.0 15
54 3 3.0 10492
55 3 3.0 5857
56 1 1.0 2354
57 1 1.0 1104
58 1 1.0 1101
59 2 2.0 23
60 2 2.0 36
61 2 2.0 15
62 2 2.0 21
63 1 1.0 1311
64 1 1.0 454
65 1 1.0 1223
66 1 1.0 1194
67 2 2.0 8
68 2 2.0 17
69 1 1.0 693
70 1 1.0 1065
71 2 2.0 26
72 3 3.0 5254
73 1 1.0 317
74 1 1.0 1915
75 2 2.0 17
76 1 1.0 1910
77 2 2.0 5
78 1 1.0 1873
79 3 3.0 10886
80 2 2.0 19
81 2 2.0 25
82 2 2.0 48
83 2 2.0 34
84 1 1.0 1700
85 1 1.0 35
86 1 1.0 1884
87 2 2.0 37
88 2 2.0 50
89 3 4.0 16268
90 1 1.0 1916
91 2 2.0 31
92 2 2.0 15
93 2 2.0 19
94 1 1.0 953
95 1 1.0 971
96 2 2.0 13
97 1 1.0 199
98 2 2.0 9
99 2 2.0 24
100 2 2.0 11
101 1 1.0 820
102 1 1.0 2062
103 1 1.0 589
104 2 2.0 18
105 1 1.0 196
106 1 1.0 1734
107 2 2.0 18
108 1 1.0 191
109 2 2.0 21
110 1 1.0 716
111 1 1.0 2116
112 1 1.0 319
113 2 2.0 10
114 1 1.0 986
115 1 1.0 1444
116 2 2.0 31
117 1 1.0 1665
118 2 2.0 26
119 2 2.0 38
120 1 1.0 1086
121 1 1.0 395
122 1 1.0 137
123 2 2.0 16
124 5 5.0 81078
125 1 1.0 1576
126 2 2.0 22
127 2 2.0 32
128 2 2.0 24
129 1 1.0 5116
130 3 3.0 15530
131 1 1.0 1154
132 1 1.0 169
133 1 1.0 886
134 1 1.0 692
135 2 2.0 25
136 2 2.0 18
137 1 1.0 1108
138 2 2.0 29
139 2 2.0 35
140 1 1.0 837
141 1 1.0 3227
142 2 2.0 32
143 1 1.0 580
144 2 2.0 39
145 3 3.0 19659
146 1 1.0 474
147 1 1.0 190
148 2 2.0 8
149 2 2.0 24
150 3 3.0 18369
151 1 1.0 1666
152 3 3.0 5273
153 1 1.0 387
154 2 2.0 25
155 2 2.0 22
156 1 1.0 479
157 2 2.0 30
158 2 3.0 45
159 2 2.0 17
160 1 1.0 588
161 3 4.0 27877
162 2 2.0 36
163 2 2.0 8
164 2 2.0 11
165 1 1.0 1720
166 2 2.0 14
167 1 1.0 1503
168 2 2.0 41
169 2 2.0 38
170 1 1.0 484
171 3 3.0 19117
172 2 2.0 22
173 2 2.0 40
174 2 2.0 29
175 2 2.0 11
176 2 2.0 27
177 4 4.0 21625
178 1 1.0 1224
179 2 2.0 39
180 1 1.0 2825
181 1 1.0 2340
