Order	Crates
0	1
1	2
2	2
3	2
4	2
5	1
6	2
7	3
8	2
9	1
10	1
11	2
12	2
13	1
14	2
15	2
16	2
17	1
18	1
19	1
20	1
21	2
22	2
23	1
24	2
25	2
26	1
27	2
28	1
29	2
30	2
31	1
32	2
33	2
34	1
35	1
36	1
37	3
38	2
39	1
40	1
41	2
42	2
43	2
44	2
45	3
46	2
47	3
48	3
49	2
50	2
51	2
52	2
53	2
54	3
55	3
56	1
57	1
58	1
59	2
60	2
61	2
62	2
63	1
64	1
65	1
66	1
67	2
68	2
69	1
70	1
71	2
72	3
73	1
74	1
75	2
76	1
77	2
78	1
79	3
80	2
81	2
82	2
83	2
84	1
85	1
86	1
87	2
88	2
89	4
90	1
91	2
92	2
93	2
94	1
95	1
96	2
97	1
98	2
99	2
100	2
101	1
102	1
103	1
104	2
105	1
106	1
107	2
108	1
109	2
110	1
111	1
112	1
113	2
114	1
115	1
116	2
117	1
118	2
119	2
120	1
121	1
122	1
123	2
124	5
125	1
126	2
127	2
128	2
129	1
130	3
131	1
132	1
133	1
134	1
135	2
136	2
137	1
138	2
139	2
140	1
141	1
142	2
143	1
144	2
145	3
146	1
147	1
148	2
149	2
150	3
151	1
152	3
153	1
154	2
155	2
156	1
157	2
158	3
159	2
160	1
161	4
162	2
163	2
164	2
165	1
166	2
167	1
168	2
169	2
170	1
171	3
172	2
173	2
174	2
175	2
176	2
177	4
178	1
179	2
180	1
181	1
182	2
183	2
184	1
185	2
186	3
187	1
188	2
189	1
190	2
191	2
192	2
193	1
194	3
195	1
196	2
197	2
198	1
199	2
200	2
201	1
202	1
203	3
204	1
205	2
206	2
207	2
208	2
209	1
210	1
211	2
212	1
213	1
214	2
215	1
216	1
217	2
218	2
219	1
220	2
221	1
222	2
223	1
224	1
225	1
226	1
227	1
228	1
229	2
230	1
231	1
232	2
233	2
234	4
235	2
236	2
237	1
238	1
239	1
240	2
241	1
242	2
243	1
244	3
245	3
246	3
247	1
248	3
249	2
250	3
251	2
252	2
253	1
254	1
255	1
256	3
257	2
258	2
259	1
260	1
261	2
262	1
263	1
264	1
265	1
266	4
267	1
268	2
269	2
270	2
271	1
272	2
273	2
274	1
275	2
276	3
277	2
278	2
279	2
280	2
281	3
282	1
283	1
284	2
285	1
286	1
287	1
288	1
289	2
290	2
291	1
292	1
293	2
294	2
295	2
296	2
297	3
298	2
299	2
300	2
301	3
302	1
303	2
304	2
305	3
306	2
307	1
308	1
309	1
310	2
311	2
312	2
313	1
314	2
315	2
316	4
317	3
318	2
319	1
320	1
321	2
322	1
323	1
324	1
325	3
326	2
327	2
328	3
329	5
330	2
331	1
332	1
333	2
334	1
335	2
336	3
337	1
338	2
339	2
340	1
341	1
342	2
343	2
344	2
345	2
346	1
347	2
348	1
349	3
350	2
351	2
352	2
353	2
354	1
355	3
356	2
357	1
358	4
359	2
360	2
361	2
362	1
363	1
364	2
365	2
366	3
367	1
368	2
369	2
370	2
371	2
372	1
373	3
374	2
375	2
376	1
377	2
378	2
379	1
380	4
381	3
382	1
383	1
384	3
385	1
386	2
387	2
388	1
389	2
390	3
391	1
392	2
393	2
394	2
395	1
396	3
397	3
398	1
399	2
400	1
401	3
402	2
403	2
404	1
405	2
406	2
407	5
408	2
409	1
410	2
411	2
412	2
413	2
414	2
415	1
416	1
417	2
418	2
419	1
420	2
421	1
422	2
423	1
424	2
425	1
426	2
427	2
428	3
429	2
430	1
431	2
432	2
433	3
434	3
435	1
436	1
437	2
438	2
439	3
440	2
441	1
442	1
443	3
444	2
445	2
446	1
447	2
448	2
449	2
450	1
451	2
452	2
453	2
454	2
455	1
456	1
457	2
458	3
459	4
460	2
461	2
462	1
463	2
464	3
465	1
466	3
467	3
468	1
469	3
470	1
471	2
472	1
473	2
474	2
475	2
476	1
477	1
478	2
479	2
480	1
481	3
482	1
483	1
484	1
485	1
486	1
487	2
488	3
489	2
490	1
491	2
492	1
493	2
494	2
495	1
496	2
497	2
498	1
499	2
500	2
501	1
502	2
503	2
504	4
505	1
506	4
507	2
508	1
509	1
510	2
511	2
512	1
513	2
514	2
515	2
516	1
517	2
518	2
519	1
520	2
521	2
522	2
523	2
524	2
525	3
526	2
527	3
528	2
529	1
530	2
531	2
532	2
533	1
534	1
535	2
536	1
537	1
538	2
539	4
540	2
541	2
542	3
543	1
544	2
545	2
546	2
547	2
548	2
549	1
550	3
551	1
552	3
553	2
554	2
555	3
556	3
557	2
558	1
559	2
560	1
561	2
562	1
563	2
564	2
565	1
566	2
567	3
568	1
569	1
570	1
571	2
572	2
573	3
574	1
575	2
576	2
577	2
578	1
579	1
580	1
581	3
582	1
583	2
584	1
585	2
586	1
587	1
588	2
589	2
590	4
591	1
592	2
593	1
594	1
595	1
596	2
597	1
598	4
599	1
600	2
601	2
602	3
603	2
604	1
605	2
606	2
607	3
608	1
609	1
610	1
611	1
612	2
613	2
614	2
615	2
616	2
617	1
618	3
619	2
620	1
621	1
622	1
623	2
624	1
625	1
626	3
627	1
628	1
629	3
630	1
631	2
632	1
633	1
634	2
635	1
636	2
637	1
638	1
639	2
640	2
641	1
642	1
643	1
644	2
645	2
646	2
647	2
648	2
649	1
650	1
651	2
652	3
653	1
654	2
655	3
656	2
657	1
658	3
659	1
660	1
661	2
662	2
663	2
664	3
665	1
666	1
667	2
668	1
669	2
670	2
671	1
672	1
673	4
674	2
675	2
676	1
677	1
678	2
679	2
680	2
681	2
682	2
683	1
684	2
685	1
686	2
687	2
688	1
689	1
690	1
691	2
692	1
693	1
694	3
695	1
696	2
697	1
698	1
699	2
700	2
701	2
702	2
703	1
704	2
705	1
706	1
707	2
708	2
709	3
710	2
711	3
712	2
713	1
714	2
715	2
716	2
717	1
718	1
719	3
720	2
721	2
722	2
723	2
724	2
725	3
726	3
727	2
728	2
729	1
730	2
731	2
732	1
733	1
734	2
735	2
736	1
737	1
738	2
739	1
740	2
741	1
742	2
743	1
744	2
745	2
746	2
747	1
748	1
749	2
750	2
751	2
752	1
753	1
754	1
755	2
756	2
757	1
758	2
759	2
760	2
761	1
762	2
763	1
764	2
765	1
766	2
767	2
768	2
769	1
770	1
771	2
772	1
773	1
774	1
775	2
776	2
777	1
778	1
779	2
780	1
781	1
782	2
783	1
784	2
785	2
786	1
787	2
788	1
789	1
790	3
791	3
792	2
793	2
794	2
795	2
796	2
797	1
798	2
799	2
800	2
801	3
802	2
803	1
804	3
805	1
806	2
807	1
808	1
809	1
810	1
811	1
812	1
813	2
814	1
815	1
816	3
817	1
818	2
819	2
820	2
821	1
822	2
823	1
824	2
825	2
826	2
827	2
828	2
829	2
830	2
831	2
832	1
833	3
834	2
835	2
836	2
837	2
838	2
839	1
840	1
841	1
842	2
843	1
844	1
845	2
846	2
847	1
848	1
849	2
850	1
851	2
852	2
853	2
854	2
855	2
856	2
857	2
858	3
859	1
860	2
861	1
862	1
863	1
864	1
865	1
866	1
867	3
868	1
869	2
870	2
871	1
872	2
873	1
874	2
875	2
876	1
877	1
878	1
879	2
880	2
881	2
882	2
883	2
884	1
885	1
886	2
887	1
888	2
889	2
890	3
891	3
892	1
893	2
894	1
895	1
896	3
897	2
898	1
899	2
900	3
901	1
902	1
903	3
904	2
905	2
906	3
907	2
908	2
909	2
910	1
911	1
912	1
913	1
914	2
915	1
916	3
917	2
918	2
919	1
920	1
921	2
922	1
923	2
924	2
925	3
926	1
927	1
928	2
929	1
930	1
931	1
932	3
933	2
934	2
935	1
936	1
937	1
938	2
939	1
940	2
941	2
942	2
943	1
944	2
945	1
946	2
947	2
948	2
949	1
950	3
951	4
952	1
953	2
954	1
955	2
956	3
957	2
958	3
959	1
960	1
961	2
962	2
