id	x	y	z	w	l	h
148	0	0	0	154	329	112
192	0	0	112	83	338	82
405	154	0	0	74	253	124
36	83	0	124	178	71	146
405	0	71	194	253	124	74
195	228	0	0	89	366	93
281	0	338	0	154	93	267
179	83	71	124	96	220	61
151	261	0	93	58	284	169
405	0	195	194	253	124	74
66	0	431	0	209	61	124
499	179	71	124	75	191	67
421	154	319	0	63	110	238
66	0	431	124	209	61	124
333	217	366	0	92	85	147
102	254	71	93	7	95	177
119	0	0	194	62	66	40
411	217	319	147	84	155	83
386	154	253	0	42	47	117
160	209	474	0	103	20	159
296	154	319	238	156	110	31
