order_id,item_id,quantity
0,61,1
0,179,1
0,180,1
0,226,1
0,319,1
0,328,1
0,354,1
0,365,1
0,374,1
0,412,1
0,454,1
1,11,1
1,33,1
1,58,1
1,61,1
1,65,1
1,66,1
1,100,1
1,102,1
1,117,1
1,125,1
1,136,1
1,154,1
1,180,1
1,191,2
1,192,1
1,217,1
1,231,1
1,239,1
1,261,1
1,274,1
1,284,1
1,315,1
1,319,1
1,379,1
1,399,1
1,411,2
1,420,1
1,437,1
1,445,1
1,472,1
1,480,1
1,491,1
1,495,2
2,3,1
2,4,1
2,20,1
2,33,1
2,36,1
2,54,1
2,56,1
2,110,1
2,126,1
2,131,1
2,149,1
2,151,1
2,225,1
2,233,1
2,261,1
2,292,2
2,378,2
2,392,1
2,411,2
2,430,1
2,476,1
2,478,1
2,484,1
3,10,1
3,37,1
3,39,1
3,41,2
3,58,1
3,137,1
3,146,1
3,148,3
3,223,1
3,231,1
3,259,1
3,292,1
3,345,1
3,411,1
3,426,1
3,474,1
4,56,1
4,58,1
4,59,1
4,61,2
4,63,1
4,66,1
4,80,1
4,102,1
4,110,1
4,125,1
4,126,2
4,169,1
4,171,1
4,179,1
4,195,1
4,198,1
4,218,1
4,233,1
4,247,1
4,258,1
4,308,1
4,310,1
4,315,1
4,321,1
4,328,1
4,360,1
4,374,1
4,379,1
4,405,1
4,432,1
4,438,1
4,440,1
4,444,2
4,446,1
4,487,1
4,495,1
5,3,1
5,70,1
5,102,1
5,121,2
5,125,1
5,136,1
5,151,1
5,154,1
5,169,1
5,247,1
5,303,1
5,374,1
5,405,1
5,411,1
5,426,1
5,440,1
5,491,1
6,1,1
6,10,1
6,20,3
6,29,1
6,33,1
6,34,1
6,36,2
6,37,1
6,56,4
6,58,1
6,59,1
6,61,1
6,66,3
6,69,2
6,85,1
6,93,1
6,94,1
6,100,1
6,113,1
6,119,2
6,122,2
6,137,1
6,139,1
6,148,6
6,151,1
6,183,1
6,184,1
6,200,1
6,215,1
6,231,1
6,233,2
6,237,1
6,249,1
6,281,1
6,293,1
6,298,2
6,309,1
6,315,2
6,342,1
6,354,2
6,365,1
6,376,1
6,396,1
6,405,3
6,411,1
6,426,1
6,440,1
6,445,1
6,450,1
6,454,1
6,457,1
6,467,1
6,473,2
6,474,2
6,478,1
6,495,1
7,4,1
