id	x	y	z	w	l	h
495	0	0	0	320	37	36
36	0	37	0	146	71	178
211	0	37	178	101	101	87
446	101	37	178	202	43	83
298	101	80	178	120	66	68
333	0	138	178	85	147	92
100	0	285	178	290	160	48
411	221	80	178	83	155	84
411	221	80	0	84	83	155
411	101	146	0	84	83	155
411	0	163	0	84	83	155
411	85	229	0	84	83	155
39	0	285	0	60	108	145
173	0	285	226	145	160	44
383	169	229	0	72	82	101
383	169	163	101	101	82	72
258	241	163	0	73	156	68
473	145	285	226	109	129	40
268	169	311	0	55	180	55
444	145	319	0	21	140	146
242	0	393	0	92	31	125
71	305	37	0	9	113	166
304	221	0	262	93	152	10
