id	x	y	z	w	l	h
126	0	0	0	289	162	105
37	0	0	105	55	391	127
96	0	391	105	183	93	43
225	0	162	0	268	173	61
495	0	391	0	320	37	36
376	0	391	148	190	103	114
69	55	0	0	155	62	270
354	0	162	61	314	89	89
298	190	391	36	120	66	68
198	0	251	61	259	61	125
56	210	0	0	83	332	89
440	0	428	0	229	72	84
383	190	391	104	72	82	101
179	210	332	0	96	61	220
179	210	393	0	96	61	220
74	0	312	0	78	74	268
53	262	162	104	32	135	167
434	190	332	220	76	166	50
160	210	454	0	103	20	159
430	266	332	0	30	60	219
430	266	392	0	30	60	219
